window_id,speed_mps_mean,speed_kmh_mean,acceleration_mps2_mean,acceleration_kmh2_mean,bearing_deg_mean,speed_mps_var,speed_kmh_var,acceleration_mps2_var,acceleration_kmh2_var,bearing_deg_var,speed_mps_max,speed_kmh_max,acceleration_mps2_max,acceleration_kmh2_max,bearing_deg_max,speed_mps_min,speed_kmh_min,acceleration_mps2_min,acceleration_kmh2_min,bearing_deg_min,speed_mps_q90,speed_kmh_q90,acceleration_mps2_q90,acceleration_kmh2_q90,bearing_deg_q90
1866,7.457175820124951,26.845832952449825,0.3509823280709823,4548.730971799931,358.87897870586454,0.25498087752232496,3.3045521726893314,0.10761365172199522,18074961.125069067,2.1120038008625315,7.814233852888762,28.131241870399545,0.5829453118873611,7554.9712420602,359.90659823683467,7.100117787361141,25.56042403450011,0.1190193442546035,1542.490701539662,357.8513591748944,7.742822246336,27.874160086809603,0.5365527151240853,6953.723188008146,359.70107433064067
1867,8.057636158153185,29.007490169351467,-0.16611869567340154,-2152.898295927285,240.29035538966932,9.739992112221616,126.23029777439214,1.0310738148787362,173180807.6651364,42010.886908554836,11.427369258669454,41.13852933121004,0.7896810334223785,10234.266193154026,359.30864450831393,5.266575124232538,18.959670447237137,-1.232158826887383,-15968.778396460488,3.617805890139664,10.637688225247077,38.29567761088948,0.6205691680268628,8042.576417628143,359.035838760762
1868,2.2141142896651598,7.970811442794575,0.07193840281019037,932.3217004200669,55.59392736161832,8.269584333573835,107.17381296311689,0.8119885791713666,136382900.9393494,1076.7028771531693,5.525664769129525,19.89239316886629,1.0358016056864383,13423.98880969624,85.37152776687157,0.346656740697334,1.2479642665104025,-0.7494256275106528,-9712.55613253806,20.41538189859068,4.574536087137345,16.46832991369444,0.8145291306001078,10556.297532577397,80.4961966973758
1869,7.014820400986119,25.253353443550026,-0.03762402000493875,-487.6072992640061,87.5042099547224,7.5321972752091515,97.61727668671065,0.7423888436400042,124692817.99992497,0.29621122640227787,8.955464272901978,32.23967138244712,0.571633250628742,7408.366928148497,87.88905487569855,5.07417652907026,18.267035504652934,-0.6468812906386195,-8383.58152667651,87.11936503374625,8.567335498518807,30.842407794667704,0.4497817965020059,5829.172082665997,87.81208589150332
1870,0.35301558325515375,1.2708560997185538,-0.264318202985226,-3425.5639106885296,168.92318540339656,0.01834552061492587,0.23775794716943924,0.18603936685284128,31247469.719590187,8614.150817218026,0.5059161568394154,1.8212981646218955,0.0113953082494768,147.6831949132201,222.5585070581578,0.2480770258393308,0.8930772930215911,-0.7613767287051408,-9867.442404018626,61.7526153538804,0.4657436388888753,1.6766770999999514,0.0005216088995786423,6.7600513385396255,222.5384924061565
1871,4.688556996384264,16.878805186983353,0.45802285150461025,5935.9761554997485,185.74976689564036,13.75393647702355,178.25101674222526,0.3643155046691469,61191015.069037385,23080.466106414227,7.401743671941367,26.64627721898892,1.147721222228332,14874.467040079182,274.88796604786273,0.4626606030348831,1.6655781709255797,0.0262678393246946,340.4311976480429,10.33246444559478,7.161648280388402,25.781933809398247,0.9581928763748264,12418.17967781775,274.3161468769829
1872,8.658052102255706,31.168987568120542,0.15664968483409997,2030.179915449936,93.56328109591733,1.0326027574699368,13.38253173681036,0.01795599797596327,3015918.1496395515,25838.87293053021,9.81233705866386,35.324413411189894,0.3097766183958512,4014.704974410232,279.1749354929044,7.898365281418654,28.434115013107156,0.0608481142109914,788.5915601744497,0.4284485170938978,9.50256044026801,34.20921758496483,0.2676861590957724,3469.212621881211,223.55724024987427
1873,10.873015588367128,39.142856118121664,0.10333970227395325,1339.2825414704344,180.68037717497353,0.06436721131524095,0.8341990586455227,0.003791533400603617,636832.0164188235,64260.31377553593,11.052413485951298,39.78868854942468,0.1468801053531831,1903.566165377253,359.9292457565296,10.693617690782958,38.49702368681865,0.0597992991947234,774.9989175636159,1.4315085934174476,11.016533906434464,39.659522063164076,0.13817202473733714,1790.7094405958892,324.07947204021843
1874,10.359872338585427,37.295540418907535,-0.005756590080913004,-74.60540744863283,240.14416489207062,0.5770875054325384,7.479054070405689,0.05819055179835805,9773778.1849351,41870.2608852542,10.856712344289988,39.08416443944396,0.2504236448839944,3245.490437696568,358.3765562643765,9.48539322352316,34.147415604683374,-0.2285531867944715,-2962.0493008563512,3.866779584591143,10.832872165020618,38.99833979407422,0.19251087024074315,2494.9408783200315,358.33907677695004
1875,6.569198841775229,23.649115830390826,-0.42891409662165714,-5558.726692216677,122.00504925170593,8.494928343197863,110.09427132784433,0.02893723840957501,4860344.862853672,42216.819655888794,9.267813820286085,33.36412975302991,-0.2449496046095077,-3174.5468757392205,359.23381456677834,3.4783299147532483,12.521987693111694,-0.5805204792555176,-7523.545411151508,0.4403553896500511,8.80654161428614,31.7035498114301,-0.2882141248875954,-3735.2550585432364,288.6552472131606
1876,1.7459284088607112,6.2853422718985605,-0.089126127137409,-1155.074607700821,147.6240059514413,0.4483882391341602,5.811111579178716,0.1551497809442687,26059205.44704889,42594.46933352665,2.219419823320446,7.989911363953605,0.1893965657838938,2454.579492559264,293.55972696162894,1.2724369944009768,4.580773179843517,-0.3676488200587118,-4764.728707960906,1.6882849412536416,2.124721540428499,7.6489975455425965,0.13369202719963325,1732.6486725072473,264.3725827595914
1877,4.229290179036746,15.225444644532288,0.46555269509156777,6033.5629283867165,259.7872487095837,15.50712728370857,200.97236959686308,0.17690861534016594,29713854.086318806,35.59929544703455,7.880690137268695,28.370484494167304,0.7822748907638514,10138.282584299512,265.22469230179735,0.0567655276292175,0.204355899465183,-0.0116718585004222,-151.26728616547194,253.40451943079407,7.254635084257421,26.116686303326716,0.7510309232133359,9733.360764844832,264.32626072066984
1878,5.130384279362763,18.469383405705948,-0.15085424171529943,-1955.0709726302805,328.1855140262479,1.7674066455726114,22.90559012662104,0.43097422433849003,72387120.27865174,226.18057119323635,6.070439236685103,21.85358125206637,0.3133516524407798,4061.0374156325065,338.8199056683033,4.190329322040424,15.085185559345526,-0.6150601358713786,-7971.1793608930675,317.55112238419247,5.882428245220635,21.176741682794287,0.22051047360956394,2857.8157379799495,336.69302733989224
